Date, Product_name, Producer, Price, Shipping, Rating, Number of Ratings
2020-02-05,GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,MSI,529,,Rating + 5",25
2020-02-05,GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,MSI,749,,Rating + 5",32
2020-02-05,GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,339,,Rating + 4",10
2020-02-05,PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI) 100411P8GOCL,Sapphire,189,,Rating + 4",93
2020-02-05,NITRO+ Radeon RX 5700 XT 100416NT+8GSR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,SAPPHIRE,429,,Rating + 4",93
2020-02-05,GeForce RTX 2060 SUPER SC ULTRA GAMING 08G-P4-3067-KR 8GB GDDR6 Dual HDB Fans Metal Backplate,EVGA,419,,Rating + 4",29
2020-02-05,GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER VENTUS OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,MSI,509,,Rating + 4",35
2020-02-05,ROG STRIX GeForce GTX 1060 DirectX 12 ROG-STRIX-GTX1060-A6G-GAMING 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,ASUS,239,,Rating + 5",9
2020-02-05,ROG STRIX GeForce RTX 2070 SUPER Advanced Overclocked 8G GDDR6 HDMI DisplayPort USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2070S-A8G-GAMING),ASUS,584,,Rating + 5",38
2020-02-05,GeForce RTX 2070 SUPER FTW3 ULTRA GAMING 08G-P4-3277-KR 8GB GDDR6 iCX2 Technology RGB LED Metal Backplate,EVGA,589,,Rating + 5",9
2020-02-05,GeForce GTX 1060 DirectX 12 ZT-P10620A-10M 6GB 192-Bit GDDR5X PCI Express 3.0 HDCP Ready Video Card,ZOTAC,209,,Rating + 4",91
2020-02-05,Phantom Gaming D Radeon RX 570 DirectX 12 RX570 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,ASRock,129,,Rating + 3",32
2020-02-05,Radeon RX 580 DirectX 12 RX 580 ARMOR X 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,MSI,189,,Rating + 4",3
2020-02-05,PULSE Radeon RX 5700 XT 100416P8GL 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,SAPPHIRE,409,,Rating + 4",62
2020-02-05,Phantom Gaming X Radeon RX 580 DirectX 12 RX580 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,ASRock,159,,Rating + 3",66
2020-02-05,ROG STRIX GeForce RTX 2080 SUPER Advanced Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2080S-A8G-GAMING),ASUS,789,,Rating + 5",22
2020-02-05,TUF Gaming X3 AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (TUF 3-RX5700XT-O8G-GAMING),ASUS,379,,Rating + 2",41
2020-02-05,PULSE Radeon RX 570 DirectX 12 100412P4GITXL 4GB 256-Bit GDDR5 CrossFireX Support ITX Video Card,SAPPHIRE,119,,Rating + 4",9
2020-02-05,Radeon RX 5700 DirectX 12 RX 5700 MECH OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,MSI,349,,Rating + 5",9
2020-02-05,GeForce RTX 2080 TI GAMING X TRIO Video Card,MSI,1,249,,Rating + 4",37
2020-02-05,GeForce RTX 2080 SUPER FTW3 ULTRA GAMING Video Card 08G-P4-3287-KR 8GB GDDR6 iCX2 Technology RGB LED Metal Backplate,EVGA,779,,Rating + 5",8
2020-02-05,GeForce RTX 2080 SUPER BLACK GAMING 08G-P4-3081-KR 8GB GDDR6,EVGA,719,,Rating + 4",23
2020-02-05,GeForce RTX 2080 SUPER XC GAMING Video Card 08G-P4-3182-KR 8GB GDDR6 RGB LED Metal Backplate,EVGA,749,,Rating + 5",17
2020-02-05,GeForce GTX 1060 SC GAMING ACX 2.0 (Single Fan) 03G-P4-6162-KR 3GB GDDR5 DX12 OSD Support (PXOC),EVGA,159,,Rating + 4",94
2020-02-05,Radeon RX 5700 XT DirectX 12 RX 5700 XT GAMING X 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,MSI,429,,Rating + 4",20
2020-02-05,GeForce GTX 1660 Ti SC ULTRA GAMING 06G-P4-1667-KR 6GB GDDR6 Dual Fan Metal Backplate,EVGA,279,,Rating + 5",18
2020-02-05,GeForce RTX 2080 Super GAMING OC 8G (Rev 2.0) Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N208SGAMING OC-8GC Video Card,GIGABYTE,719,,Rating + 5",3
2020-02-05,ROG Strix GeForce GTX 1660 Ti ROG-STRIX-GTX1660TI-A6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,ASUS,304,,Rating + 4",8
2020-02-05,Phantom Gaming X Radeon RX Vega 56 DirectX 12 RX VEGA 56 8G 8GB 2048-Bit HBM2 PCI Express 3.0 x16 HDCP Ready Video Card,ASRock,264,,Rating + 4",33
2020-02-05,Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,ASRock,439,,Rating + 4",20
2020-02-05,RED DRAGON Radeon RX 590 DirectX 12 AXRX 590 8GBD5-DHD 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,PowerColor,194,,Rating + 4",8
2020-02-05,Radeon RX 570 DirectX 12 RX-570P8DFD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,XFX,159,,Rating + 4",49
2020-02-05,PULSE Radeon RX 5500 XT DirectX 12 100418P4GL 4GB 128-Bit GDDR6 PCI Express 4.0 ATX Video Card,SAPPHIRE,179,,Rating + 4",2
2020-02-05,Radeon RX Vega 64 DirectX 12 GV-RXVEGA64GAMING OC-8GD 8GB 2048-Bit HBM2 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,GIGABYTE,389,,Rating + 4",42
2020-02-05,GeForce RTX 2070 SUPER FTW3 ULTRA+ Video Card OVERCLOCKED 2.75 Slot Extreme Cool Triple + iCX2 65C Gaming RGB Metal Backplate 08G-P4-3377-KR 8GB 15.5 GHz GDDR6,EVGA,599,,Rating + 5",5
2020-02-05,RED DRAGON Radeon RX 580 DirectX 12 AXRX 580 8GBD5-3DHDV2/OC 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,PowerColor,179,,Rating + 3",95
2020-02-05,GeForce RTX 2060 SC GAMING 06G-P4-2062-KR 6GB GDDR6 HDB Fan,EVGA,359,,Rating + 5",3
2020-02-05,GAMING GeForce GTX 1660 Ti 6GB GDDR6 192-bit Gaming Graphics Card Super Compact ZT-T16610F-10L,ZOTAC,266,,Rating + 4",8
2020-02-05,GeForce GTX 1650 OC 4G Graphics Card 2 x WINDFORCE Fans 4GB 128-Bit GDDR5 GV-N1650OC-4GD Video Card,GIGABYTE,159,,Rating + 5",11
2020-02-05,GeForce GT 730 DirectX 12 (feature level 11_0) ZT-71115-20L 4GB 64-Bit DDR3 PCI Express 2.0 Zone Edition Video Card,ZOTAC,84,,Rating + 4",47
2020-02-05,GeForce GTX 1660 XC Black GAMING 06G-P4-1161-KR 6GB GDDR5 HDB Fan,EVGA,229,,Rating + 5",9
2020-02-05,GeForce GT 710 DirectX 12 GT 710 2GD3H LP 2GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,MSI,59,,Rating + 4",35
2020-02-05,Challenger D Radeon RX 5500 XT DirectX 12 RX5500XT CLD 8GO 8GB 128-Bit GDDR6 PCI Express 4.0 x8 HDCP Ready Video Card,ASRock,199,,Rating + 4",35
2020-02-05,GeForce GTX 1660 BLACK GAMING Video Card 06G-P4-1160-KR 6GB GDDR5 Single Fan,EVGA,199,,Rating + 4",35
2020-02-05,Radeon RX 5500 XT DirectX 12 GV-R55XTGAMING OC-8GD 8GB 128-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,GIGABYTE,219,,Rating + 4",1
2020-02-05,Liquid Devil Radeon RX 5700 XT DirectX 12 AXRX 5700XT 8GBD6-WDH/OC 8GB 256-Bit GDDR6 PCI Express 4.0 x16 CrossFireX Support Video Card,PowerColor,599,,Rating + 3",5
2020-02-05,GeForce GTX 1050 Ti GTX1050TI-O4G-LP-BRK 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Low Profile Video Card,ASUS,189,,Rating + 5",1
2020-02-05,PULSE Radeon RX 5500 XT DirectX 12 100418P8GL 8GB 128-Bit GDDR6 PCI Express 4.0 ATX Video Card,SAPPHIRE,209,,Rating + 5",1
2020-02-05,GeForce RTX 2060 KO ULTRA GAMING Video Card 06G-P4-2068-KR 6GB GDDR6 Dual Fans Metal Backplate,EVGA,319,,Rating + 4",9
2020-02-05,ROG Strix Radeon RX 580 O8G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card with RGB Lighting (ROG-STRIX-RX580-O8G-GAMING),ASUS,189,,Rating + 4",35
2020-02-05,GeForce RTX 2070 WINDFORCE 8G (Rev 3.0) Graphics Card 2 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N2070WF2-8GD (Rev 3.0) Video Card,GIGABYTE,399,,Rating + 4",9
2020-02-05,GeForce GTX 1660 Ti OC 6G Graphics Card 2 x WINDFORCE Fans 6GB 192-Bit GDDR6 GV-N166TOC-6GD Video Card,GIGABYTE,279,,Rating + 5",39
2020-02-05,GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N207SWF3OC-8GD Video Card,GIGABYTE,499,,Rating + 4",49
2020-02-05,GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support BLACK EDITION GAMING Video Card Dual HDB Fans & RGB LED,EVGA,1,099,,Rating + 5",44
2020-02-05,GeForce RTX 2060 SUPER GAMING OC 3X 8G Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N206SGAMING OC-8GD Video Card,GIGABYTE,419,,Rating + 5",4
2020-02-05,GAMING GeForce RTX 2070 SUPER MINI 8GB GDDR6 256-bit 14 Gbps Gaming Graphics Card IceStorm 2.0 Super Compact ZT-T20710E-10M,ZOTAC,499,,Rating + 5",2
2020-02-05,GeForce GTX 1650 SUPER SC ULTRA GAMING Video Card 04G-P4-1357-KR 4GB GDDR6 Dual Fan Metal Backplate,EVGA,169,,Rating + 5",8
